market,report_date,availability_date,net_share
NASDAQ,2003-04-01,2003-04-09,0.23709962397499207
SP500,2003-04-01,2003-04-09,-0.07254639440341186
NASDAQ,2003-04-08,2003-04-16,0.26494808817561144
SP500,2003-04-08,2003-04-16,-0.10505191242771249
NASDAQ,2003-04-15,2003-04-23,0.2528328718285105
SP500,2003-04-15,2003-04-23,-0.089305451169370886
NASDAQ,2003-04-22,2003-04-30,0.18701984165770696
SP500,2003-04-22,2003-04-30,-0.067108382958051424
NASDAQ,2003-04-29,2003-05-07,0.15111174683344514
SP500,2003-04-29,2003-05-07,-0.10449877198266874
NASDAQ,2003-05-06,2003-05-14,0.10303025263884327
SP500,2003-05-06,2003-05-14,-0.13041557617689614
NASDAQ,2003-05-13,2003-05-21,0.15006135973165344
SP500,2003-05-13,2003-05-21,-0.12676716889613737
NASDAQ,2003-05-20,2003-05-28,0.1580093912819743
SP500,2003-05-20,2003-05-28,-0.16087183560500731
NASDAQ,2003-05-27,2003-06-04,0.23936375144476857
SP500,2003-05-27,2003-06-04,-0.15604051785266101
NASDAQ,2003-06-03,2003-06-11,0.21370939652593665
SP500,2003-06-03,2003-06-11,-0.19317751353548793
NASDAQ,2003-06-10,2003-06-18,0.23612903711340982
SP500,2003-06-10,2003-06-18,-0.19327235883673805
NASDAQ,2003-06-17,2003-06-25,0.18672187561200795
SP500,2003-06-17,2003-06-25,-0.043792709079425264
NASDAQ,2003-06-24,2003-07-02,0.249194049097335
SP500,2003-06-24,2003-07-02,0.036926297842466184
NASDAQ,2003-07-01,2003-07-09,0.22420181105627116
SP500,2003-07-01,2003-07-09,0.14552990781104838
NASDAQ,2003-07-08,2003-07-16,0.17010285386829144
SP500,2003-07-08,2003-07-16,0.12577228006239782
NASDAQ,2003-07-15,2003-07-23,0.12929322229876999
SP500,2003-07-15,2003-07-23,0.037457268037171705
NASDAQ,2003-07-22,2003-07-30,0.15547527096050828
SP500,2003-07-22,2003-07-30,0.072484171160829669
NASDAQ,2003-07-29,2003-08-06,0.10803535360570561
SP500,2003-07-29,2003-08-06,-0.017804710724902813
NASDAQ,2003-08-05,2003-08-13,-0.0066574144605720366
SP500,2003-08-05,2003-08-13,-0.045846175255917519
