"id","market_and_exchange_names","report_date_as_yyyy_mm_dd","cftc_contract_market_code","open_interest_all","noncomm_positions_long_all","noncomm_positions_short_all"
"060718209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-07-18T00:00:00.000","209742","426672","89172","191207"
"06072513874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-07-25T00:00:00.000","13874A","1378698","192380","353505"
"060725209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-07-25T00:00:00.000","209742","418976","83265","184396"
"06080113874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-08-01T00:00:00.000","13874A","1386714","168150","362796"
"060801209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-08-01T00:00:00.000","209742","420045","47398","198904"
"06080813874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-08-08T00:00:00.000","13874A","1465662","194010","394246"
"060808209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-08-08T00:00:00.000","209742","435921","54657","181924"
"06081513874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-08-15T00:00:00.000","13874A","1503215","230513","400259"
"060815209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-08-15T00:00:00.000","209742","436324","77688","168135"
"06082213874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-08-22T00:00:00.000","13874A","1547766","232641","424305"
"060822209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-08-22T00:00:00.000","209742","413528","60442","142921"
"0608291170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-08-29T00:00:00.000","1170E1","43376","1860","8924"
"06082913874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-08-29T00:00:00.000","13874A","1581886","250158","400641"
"060829209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-08-29T00:00:00.000","209742","401969","69621","150719"
"0609051170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-09-05T00:00:00.000","1170E1","45702","3176","9525"
"06090513874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-09-05T00:00:00.000","13874A","1672748","282833","492001"
"060905209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-09-05T00:00:00.000","209742","410662","72859","153389"
"0609121170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-09-12T00:00:00.000","1170E1","46956","3126","9153"
"06091213874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-09-12T00:00:00.000","13874A","1998218","262291","468912"
"060912209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-09-12T00:00:00.000","209742","554206","81314","165820"
"0609191170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-09-19T00:00:00.000","1170E1","49654","3685","9700"
"06091913874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-09-19T00:00:00.000","13874A","1303906","206163","279636"
"060919209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-09-19T00:00:00.000","209742","383393","59696","117068"
"0609261170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-09-26T00:00:00.000","1170E1","53755","3372","9875"
"06092613874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-09-26T00:00:00.000","13874A","1428199","276678","343784"
"060926209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-09-26T00:00:00.000","209742","430416","72982","154283"
"0610031170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-10-03T00:00:00.000","1170E1","55929","4360","10577"
"06100313874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-10-03T00:00:00.000","13874A","1453775","306657","330398"
"061003209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-10-03T00:00:00.000","209742","430732","83431","165576"
"0610101170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-10-10T00:00:00.000","1170E1","57977","4668","10968"
"06101013874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-10-10T00:00:00.000","13874A","1499138","297772","341739"
"061010209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-10-10T00:00:00.000","209742","463295","101592","179205"
"0610171170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-10-17T00:00:00.000","1170E1","54409","4122","10614"
"06101713874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-10-17T00:00:00.000","13874A","1557473","353595","327439"
"061017209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-10-17T00:00:00.000","209742","486123","106352","139725"
"0610241170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-10-24T00:00:00.000","1170E1","50271","4760","10986"
"06102413874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-10-24T00:00:00.000","13874A","1610999","387262","344273"
"061024209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-10-24T00:00:00.000","209742","431235","110432","130995"
"0610311170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-10-31T00:00:00.000","1170E1","47115","5587","10013"
"06103113874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-10-31T00:00:00.000","13874A","1649310","420368","323552"
"061031209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-10-31T00:00:00.000","209742","430345","110425","134379"
"0611071170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-11-07T00:00:00.000","1170E1","45390","5578","9960"
"06110713874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-11-07T00:00:00.000","13874A","1697597","424597","340753"
