decision_date,event_date,event_time,side,reference_price,fill_price,signed_share_delta,cash_after,shares_after,equity_at_reference_after,target_exposure_after,slippage
2009-10-02,2009-10-05,close,buy,5.568588733673096,5.571373028039932,1845.936624475034,0.0,1845.936624475034,10279.261890126218,1.0,5.139630945061942
2010-02-03,2010-02-04,open,sell,5.889195286027982,5.886250688384968,-1845.936624475034,10865.645726531193,0.0,10865.645726531193,0.0,5.435540633581629
2010-02-03,2010-02-04,close,buy,5.749098300933838,5.751972850084305,1889.0293834352747,0.0,1889.0293834352747,10860.215618721833,1.0,5.4301078093605
2010-02-05,2010-02-08,open,sell,5.858063614630011,5.855134582822696,-1889.0293834352747,11060.521270920111,0.0,11060.521270920111,0.0,5.533027149034494
2010-02-05,2010-02-08,close,buy,5.811064720153809,5.813970252513885,1902.4041731444509,0.0,1902.4041731444509,11054.993774033095,1.0,5.527496887015169
2010-02-11,2010-02-12,open,sell,5.930506997428003,5.9275417439292895,-1902.4041731444509,11276.580150139016,0.0,11276.580150139016,0.0,5.641110630383248
2010-02-11,2010-02-12,close,buy,5.99846076965332,6.001460000038147,1878.972808294538,0.0,1878.972808294538,11270.944677800115,1.0,5.635472338900218
2010-05-11,2010-05-12,open,sell,7.760459833191414,7.756579603274818,-1878.972808294538,14574.40215992542,0.0,14574.40215992542,0.0,7.290846503214201
2010-05-11,2010-05-12,close,buy,7.845776557922363,7.849699446201324,1856.6828271340191,0.0,1856.6828271340191,14567.118600625106,1.0,7.283559300311867
2010-05-21,2010-05-24,open,sell,7.4024323942606856,7.398731178063556,-1856.6828271340191,13737.097120891654,0.0,13737.097120891654,0.0,6.871984552721423
2010-05-21,2010-05-24,close,buy,7.386865615844727,7.390559048652649,1858.735858878771,0.0,1858.735858878771,13730.23200488921,1.0,6.865116002444143
2010-05-25,2010-05-26,open,sell,7.486252564856077,7.48250943857365,-1858.735858878771,13908.008607875703,0.0,13908.008607875703,0.0,6.957483045459086
2010-05-25,2010-05-26,close,buy,7.30753755569458,7.311191324472427,1902.2903369143196,0.0,1902.2903369143196,13901.058078836286,1.0,6.950529039416873
2010-06-10,2010-06-11,open,sell,7.430871134687927,7.427155699120584,-1902.2903369143196,14128.606517195203,0.0,14128.606517195203,0.0,7.06783717718562
2010-06-10,2010-06-11,close,buy,7.588930606842041,7.592725072145462,1860.8083899978365,0.0,1860.8083899978365,14121.545744323043,1.0,7.060772872161032
2010-07-07,2010-07-08,open,sell,7.857451869547959,7.853523143613185,-1860.8083899978365,14613.901756677598,0.0,14613.901756677598,0.0,7.310606181429143
2010-07-07,2010-07-08,close,buy,7.726035118103027,7.729898135662078,1890.568478419657,0.0,1890.568478419657,14606.598457448874,1.0,7.3032992287235645
2010-07-20,2010-07-21,open,sell,7.935583326268,7.931615534604866,-1890.568478419657,14995.262312667635,0.0,14995.262312667635,0.0,7.501381847256589
2010-07-20,2010-07-21,close,buy,7.61078405380249,7.614589445829391,1969.2804739303094,0.0,1969.2804739303094,14987.76842845341,1.0,7.493884214225347
2010-08-12,2010-08-13,open,sell,7.533250467234256,7.52948384200064,-1969.2804739303094,14827.665508825627,0.0,14827.665508825627,0.0,7.417541525174348
2010-08-12,2010-08-13,close,buy,7.456915378570557,7.460643836259841,1987.4511951315733,0.0,1987.4511951315733,14820.25538113506,1.0,7.410127690565836
2010-08-25,2010-08-26,open,sell,7.3476510368321515,7.343977211313736,-1987.4511951315733,14595.796285644523,0.0,14595.796285644523,0.0,7.30154891727964
2010-08-25,2010-08-26,close,buy,7.192884922027588,7.196481364488601,2028.1851013563673,0.0,2028.1851013563673,14588.50203462721,1.0,7.294251017313086
2010-11-22,2010-11-23,open,sell,9.29344982151076,9.288803096600006,-2028.1851013563673,18839.412049957024,0.0,18839.412049957024,0.0,9.424418234094148
2010-11-22,2010-11-23,close,buy,9.241960525512695,9.24658150577545,2037.4461673419364,0.0,2037.4461673419364,18829.99705143131,1.0,9.414998525713889
2011-03-11,2011-03-14,open,sell,10.572593394119318,10.567307097422258,-2037.4461673419364,21530.319344768224,0.0,21530.319344768224,0.0,10.770544944856647
2011-03-11,2011-03-14,close,buy,10.583969116210938,10.589261100769042,2033.222067137866,0.0,2033.222067137866,21519.559564985735,1.0,10.759779782490064
2011-04-18,2011-04-19,open,sell,9.971492347983048,9.966506601809057,-2033.222067137866,20264.121155073397,0.0,20264.121155073397,0.0,10.137129142107705
2011-04-18,2011-04-19,close,buy,10.113985061645508,10.11904205417633,2002.5730742674393,0.0,2002.5730742674393,20253.994157994402,1.0,10.126997078995094
2011-05-17,2011-05-18,open,sell,10.07237105739496,10.067334871866263,-2002.5730742674393,20160.57374403302,0.0,20160.57374403302,0.0,10.085329536783721
2011-05-17,2011-05-18,close,buy,10.174151420593262,10.179238496303558,1980.5581479748253,0.0,1980.5581479748253,20150.49849478563,1.0,10.075249247392195
2011-05-23,2011-05-24,open,sell,10.043338570263435,10.038316900978304,-1980.5581479748253,19881.470330185977,0.0,19881.470330185977,0.0,9.945708019102069
2011-05-23,2011-05-24,close,buy,9.944252014160156,9.949224140167235,1998.2935402892424,0.0,1998.2935402892424,19871.53456290453,1.0,9.93576728145005
2011-06-21,2011-06-22,open,sell,9.733801966293306,9.72893506531016,-1998.2935402892424,19441.268094902793,0.0,19441.268094902793,0.0,9.725496795847382
2011-06-21,2011-06-22,close,buy,9.657466888427734,9.662295621871948,2012.075479340001,0.0,2012.075479340001,19431.552318743423,1.0,9.715776159371254
2011-06-23,2011-06-24,open,sell,9.91970048802711,9.914740637783096,-2012.075479340001,19949.20652129921,0.0,19949.20652129921,0.0,9.979593057177789
2011-06-23,2011-06-24,close,buy,9.769424438476562,9.7743091506958,2040.9837885963627,0.0,2040.9837885963627,19939.236902847788,1.0,9.969618451421342
2011-07-18,2011-07-19,open,sell,11.315593319780538,11.309935523120648,-2040.9837885963627,23083.395052759366,0.0,23083.395052759366,0.0,11.547471262008942
2011-07-18,2011-07-19,close,buy,11.281167984008789,11.286808568000794,2045.1658158004955,0.0,2045.1658158004955,23071.859123197766,1.0,11.535929561599348
2011-08-09,2011-08-10,open,sell,11.110534388408475,11.10497912121427,-2045.1658158004955,22711.523683885654,0.0,22711.523683885654,0.0,11.361442563223646
2011-08-09,2011-08-10,close,buy,10.887216567993164,10.89266017627716,2085.0300400767564,0.0,2085.0300400767564,22700.173597087112,1.0,11.3500867985408
2011-08-23,2011-08-24,open,sell,11.17998558027363,11.174395587483493,-2085.0300400767564,23298.95047960424,0.0,23298.95047960424,0.0,11.65530289124778
2011-08-23,2011-08-24,close,buy,11.26111125946045,11.266741815090178,2067.940391462477,0.0,2067.940391462477,23287.306826191147,1.0,11.643653413092869
2011-08-25,2011-08-26,open,sell,11.111133049116667,11.105577482592109,-2067.940391462477,22965.672246768394,0.0,22965.672246768394,0.0,11.488580413590572
2011-08-25,2011-08-26,close,buy,11.482632637023926,11.488373953342437,1999.035924495367,0.0,1999.035924495367,22954.195149193798,1.0,11.477097574595733
2011-10-05,2011-10-06,open,sell,11.17579622877685,11.170208330662462,-1999.035924495367,22329.647737091684,0.0,22329.647737091684,0.0,11.17040907308238
2011-10-05,2011-10-06,close,buy,11.296735763549805,11.302384131431578,1975.6581865761957,0.0,1975.6581865761957,22318.488492845263,1.0,11.159244246420469
2011-12-20,2011-12-21,open,sell,11.87508376203595,11.869146220154933,-1975.6581865761957,23449.375897519003,0.0,23449.375897519003,0.0,11.730553225371631
2011-12-20,2011-12-21,close,buy,11.867899894714355,11.873833844661712,1974.8782241939043,0.0,1974.8782241939043,23437.65706898451,1.0,11.718828534491834
2012-04-17,2012-04-18,open,sell,18.37197071686267,18.362784731504238,-1974.8782241939043,36264.26370180803,0.0,36264.26370180803,0.0,18.141202452130873
2012-04-17,2012-04-18,close,buy,18.210918426513672,18.220023885726928,1990.3521493304115,0.0,1990.3521493304115,36246.140631492286,1.0,18.123070315744048
2012-05-21,2012-05-22,open,sell,17.049723613097193,17.041198751290644,-1990.3521493304115,33917.986561798054,0.0,33917.986561798054,0.0,16.96747701940996
2012-05-21,2012-05-22,close,buy,16.673137664794922,16.68147423362732,2033.2727243869456,0.0,2033.2727243869456,33901.03604377617,1.0,16.950518021889124
2012-05-23,2012-05-24,open,sell,17.23891408627894,17.2302946292358,-2033.2727243869456,35033.88810277603,0.0,35033.88810277603,0.0,17.525706904839122
2012-05-23,2012-05-24,close,buy,16.923095703125,16.93155725097656,2069.1474259259517,0.0,2069.1474259259517,35016.379912819626,1.0,17.50818995640499
2012-05-30,2012-05-31,open,sell,17.384692154530395,17.37599980845313,-2069.1474259259517,35953.505276550626,0.0,35953.505276550626,0.0,17.985745511029478
2012-05-30,2012-05-31,close,buy,17.294588088989258,17.30323538303375,2077.848707519978,0.0,2077.848707519978,35935.53750779673,1.0,17.967768753896003
2012-07-23,2012-07-24,open,sell,18.18217790796046,18.173086819006482,-2077.848707519978,37760.92495852096,0.0,37760.92495852096,0.0,18.889907432976322
2012-07-23,2012-07-24,close,buy,17.98879623413086,17.997790632247924,2098.086689088494,0.0,2098.086689088494,37742.05393155519,1.0,18.87102696577491
2012-09-27,2012-09-28,open,sell,20.40591258993093,20.395709633635967,-2098.086689088494,42791.96689684559,0.0,42791.96689684559,0.0,21.406686791816874
2012-09-27,2012-09-28,close,buy,20.055667877197266,20.065695711135863,2132.5932333907226,0.0,2132.5932333907226,42770.581606042564,1.0,21.385290803018435
2012-10-16,2012-10-17,open,sell,19.50759527023903,19.497841472603913,-2132.5932333907226,41580.96479020011,0.0,41580.96479020011,0.0,20.800882836512876
2012-10-16,2012-10-17,close,buy,19.3795223236084,19.3892120847702,2144.541232949896,0.0,2144.541232949896,41560.18469785118,1.0,20.780092348920594
2012-10-22,2012-10-23,open,sell,18.970354696942973,18.960869519594503,-2144.541232949896,40662.366497353294,0.0,40662.366497353294,0.0,20.34135392563601
2012-10-22,2012-10-23,close,buy,18.440027236938477,18.449247250556944,2204.0122258172773,0.0,2204.0122258172773,40642.04547461599,1.0,20.32102273730361
2012-11-19,2012-11-20,open,sell,17.272410231367626,17.263774026251944,-2204.0122258172773,38049.569017606045,0.0,38049.569017606045,0.0,19.034301659628536
2012-11-19,2012-11-20,close,buy,16.940195083618164,16.94866518115997,2244.989125155514,0.0,2244.989125155514,38030.55374073568,1.0,19.01527687036229
2013-04-24,2013-04-25,open,sell,12.492049871574535,12.485803846638749,-2244.989125155514,28030.49385452888,0.0,28030.49385452888,0.0,14.022258056289411
2013-04-24,2013-04-25,close,buy,12.405474662780762,12.41167740011215,2258.3969072766586,0.0,2258.3969072766586,28016.485611723023,1.0,14.008242805858108
2013-07-02,2013-07-03,open,sell,12.869206302440576,12.862771699289356,-2258.3969072766586,29049.243824680812,0.0,29049.243824680812,0.0,14.531887856268185
2013-07-02,2013-07-03,close,buy,12.867371559143066,12.873805244922638,2256.4613392872075,0.0,2256.4613392872075,29034.726461450085,1.0,14.517363230724435
2014-08-01,2014-08-04,open,sell,21.127646605409453,21.11708278210675,-2256.4613392872075,47649.880896351424,0.0,47649.880896351424,0.0,23.83685887761213
2014-08-01,2014-08-04,close,buy,20.956642150878906,20.967120471954345,2272.600138874004,0.0,2272.600138874004,47626.06786242021,1.0,23.813033931209333
2014-09-23,2014-09-24,open,sell,22.508424966099515,22.497170753616466,-2272.600138874004,51127.073378940964,0.0,51127.073378940964,0.0,25.57632485189478
2014-09-23,2014-09-24,close,buy,22.4180908203125,22.429299865722655,2279.4770093147395,0.0,2279.4770093147395,51101.52261763215,1.0,25.550761308812707
2014-09-26,2014-09-29,open,sell,21.73507672882645,21.724209190462037,-2279.4770093147395,49519.83539520218,0.0,49519.83539520218,0.0,24.77230384952283
2014-09-26,2014-09-29,close,buy,22.056751251220703,22.067779626846313,2243.9881235246417,0.0,2243.9881235246417,49495.087851276534,1.0,24.74754392563795
2014-10-08,2014-10-09,open,sell,22.371823705989502,22.360637794136508,-2243.9881235246417,50177.005644478566,0.0,50177.005644478566,0.0,25.101053348912554
2014-10-08,2014-10-09,close,buy,22.257253646850586,22.26838227367401,2253.2847257521044,0.0,2253.2847257521044,50151.92967963875,1.0,25.075964839817644
2014-10-20,2014-10-21,open,sell,22.697902865549104,22.68655391411633,-2253.2847257521044,51119.26541462995,0.0,51119.26541462995,0.0,25.57241891676869
2014-10-20,2014-10-21,close,buy,22.576725006103516,22.588013368606568,2263.1147140047688,0.0,2263.1147140047688,51093.71855535227,1.0,25.54685927767665
2014-12-17,2014-12-18,open,sell,24.754657062364966,24.742279733833787,-2263.1147140047688,55994.61732366124,0.0,55994.61732366124,0.0,28.01131431898426
2014-12-17,2014-12-18,close,buy,24.927255630493164,24.939719258308408,2245.1983818946646,0.0,2245.1983818946646,55966.63400665792,1.0,27.98331700332245
2015-01-08,2015-01-09,open,sell,24.931679280309073,24.91921344066892,-2245.1983818946646,55948.577695077634,0.0,55948.577695077634,0.0,27.988282989031177
2015-01-08,2015-01-09,close,buy,24.785634994506836,24.798027812004086,2256.170455135725,0.0,2256.170455135725,55920.617386384445,1.0,27.96030869318568
