strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,buy_hold_decision_date,buy_hold_fill_date,buy_hold_adjusted_open,buy_hold_equity_before_fill,buy_hold_equity,buy_hold_cash,buy_hold_shares,buy_hold_holding_exposure_for_return,buy_hold_target_exposure,buy_hold_new_exposure_after_fill,buy_hold_signed_share_delta,buy_hold_reference_price,buy_hold_fill_price,buy_hold_turnover,buy_hold_fees,buy_hold_slippage,buy_hold_margin_interest,buy_hold_trade_executed,buy_hold_daily_return,buy_hold_monetary_pnl,buy_hold_drawdown,active_daily_return
2025-07-31,2025-08-01,210.036733428,946.051000533,946.051000533,0,4.50421688194,1,1,1,0,210.036733428,210.036733428,0,0,0,0,False,0.0114152874631,10.6775567461,-0.0539489994673,2025-07-31,2025-08-01,210.036733428,847.454153631,847.454153631,0,4.0347901998,1,1,1,0,210.036733428,210.036733428,0,0,0,0,False,0.0114152874631,9.56474842271,-0.152545846369,0
2025-08-01,2025-08-04,203.70186769,917.517391334,917.517391334,0,4.50421688194,1,1,1,0,203.70186769,203.70186769,0,0,0,0,False,-0.0301607515691,-28.5336091988,-0.0824826086661,2025-08-01,2025-08-04,203.70186769,821.894299437,821.894299437,0,4.0347901998,1,1,1,0,203.70186769,203.70186769,0,0,0,0,False,-0.0301607515691,-25.5598541939,-0.178105700563,1.11022302463e-16
2025-08-04,2025-08-05,202.596247802,912.537439569,912.537439569,0,4.50421688194,1,1,1,0,202.596247802,202.596247802,0,0,0,0,False,-0.00542763746172,-4.97995176498,-0.0874625604311,2025-08-04,2025-08-05,202.596247802,817.433355148,817.433355148,0,4.0347901998,1,1,1,0,202.596247802,202.596247802,0,0,0,0,False,-0.00542763746172,-4.46094428919,-0.182566644852,-1.11022302463e-16
2025-08-05,2025-08-06,204.817448998,922.542211494,922.542211494,0,4.50421688194,1,1,1,0,204.817448998,204.817448998,0,0,0,0,False,0.0109636837803,10.0047719251,-0.077457788506,2025-08-05,2025-08-06,204.817448998,826.395435965,826.395435965,0,4.0347901998,1,1,1,0,204.817448998,204.817448998,0,0,0,0,False,0.0109636837803,8.96208081729,-0.173604564035,-2.22044604925e-16
2025-08-06,2025-08-07,218.01508809,981.987240292,981.987240292,0,4.50421688194,1,1,1,0,218.01508809,218.01508809,0,0,0,0,False,0.0644361071579,59.4450287975,-0.0180127597085,2025-08-06,2025-08-07,218.01508809,879.645140831,879.645140831,0,4.0347901998,1,1,1,0,218.01508809,218.01508809,0,0,0,0,False,0.0644361071579,53.2497048666,-0.120354859169,0
2025-08-07,2025-08-08,219.957388258,990.735781499,990.735781499,0,4.50421688194,1,1,1,0,219.957388258,219.957388258,0,0,0,0,False,0.00890901719346,8.74854120752,-0.00926421850094,2025-08-07,2025-08-08,219.957388258,887.481914515,887.481914515,0,4.0347901998,1,1,1,0,219.957388258,219.957388258,0,0,0,0,False,0.00890901719346,7.83677368381,-0.112518085485,2.22044604925e-16
2025-08-08,2025-08-11,227.277010874,1023.70494926,1023.70494926,0,4.50421688194,1,1,1,0,227.277010874,227.277010874,0,0,0,0,False,0.0332774573945,32.9691677581,0,2025-08-08,2025-08-11,227.277010874,917.015056114,917.015056114,0,4.0347901998,1,1,1,0,227.277010874,227.277010874,0,0,0,0,False,0.0332774573945,29.5331415987,-0.082984943886,0
2025-08-11,2025-08-12,227.366748237,1024.1091458,1024.1091458,0,4.50421688194,1,1,1,0,227.366748237,227.366748237,0,0,0,0,False,0.00039483695314,0.404196543079,0,2025-08-11,2025-08-12,227.366748237,917.377127545,917.377127545,0,4.0347901998,1,1,1,0,227.366748237,227.366748237,0,0,0,0,False,0.00039483695314,0.36207143074,-0.0826228724553,0
2025-08-12,2025-08-13,230.418134109,1037.85324956,1037.85324956,0,4.50421688194,1,1,1,0,230.418134109,230.418134109,0,0,0,0,False,0.0134205458635,13.7441037604,0,2025-08-12,2025-08-13,230.418134109,929.688829359,929.688829359,0,4.0347901998,1,1,1,0,230.418134109,230.418134109,0,0,0,0,False,0.0134205458635,12.3117018143,-0.070311170641,0
2025-08-13,2025-08-14,233.399694066,1051.28284225,1051.28284225,0,4.50421688194,1,1,1,0,233.399694066,233.399694066,0,0,0,0,False,0.0129397799736,13.4295926942,0,2025-08-13,2025-08-14,233.399694066,941.718798255,941.718798255,0,4.0347901998,1,1,1,0,233.399694066,233.399694066,0,0,0,0,False,0.0129397799736,12.0299688958,-0.0582812017452,0
