strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,buy_hold_decision_date,buy_hold_fill_date,buy_hold_adjusted_open,buy_hold_equity_before_fill,buy_hold_equity,buy_hold_cash,buy_hold_shares,buy_hold_holding_exposure_for_return,buy_hold_target_exposure,buy_hold_new_exposure_after_fill,buy_hold_signed_share_delta,buy_hold_reference_price,buy_hold_fill_price,buy_hold_turnover,buy_hold_fees,buy_hold_slippage,buy_hold_margin_interest,buy_hold_trade_executed,buy_hold_daily_return,buy_hold_monetary_pnl,buy_hold_drawdown,active_daily_return
2025-04-17,2025-04-21,192.254182582,835.465689294,835.465689294,0,4.34563075858,1,1,1,0,192.254182582,192.254182582,0,0,0,0,False,-0.0199288789472,-16.9884554588,-0.164534310706,2025-04-17,2025-04-21,192.254182582,776.480222113,776.480222113,0,4.03882095924,1,1,1,0,192.254182582,192.254182582,0,0,0,0,False,-0.0199288789472,-15.789038182,-0.223519777887,1.11022302463e-16
2025-04-21,2025-04-22,195.089186718,847.785570469,847.785570469,0,4.34563075858,1,1,1,0,195.089186718,195.089186718,0,0,0,0,False,0.014746124625,12.3198811742,-0.152214429531,2025-04-21,2025-04-22,195.089186718,787.930296238,787.930296238,0,4.03882095924,1,1,1,0,195.089186718,195.089186718,0,0,0,0,False,0.014746124625,11.4500741241,-0.212069703762,-2.22044604925e-16
2025-04-22,2025-04-23,204.917263209,890.494761964,890.494761964,0,4.34563075858,1,1,1,0,204.917263209,204.917263209,0,0,0,0,False,0.050377351282,42.7091914953,-0.109505238036,2025-04-22,2025-04-23,204.917263209,827.624137557,827.624137557,0,4.03882095924,1,1,1,0,204.917263209,204.917263209,0,0,0,0,False,0.050377351282,39.6938413193,-0.172375862443,0
2025-04-23,2025-04-24,203.813090777,885.696436283,885.696436283,0,4.34563075858,1,1,1,0,203.813090777,203.813090777,0,0,0,0,False,-0.00538838170163,-4.79832568076,-0.114303563717,2025-04-23,2025-04-24,203.813090777,823.164582798,823.164582798,0,4.03882095924,1,1,1,0,203.813090777,203.813090777,0,0,0,0,False,-0.00538838170163,-4.45955475864,-0.176835417202,0
2025-04-24,2025-04-25,205.285299463,892.094111629,892.094111629,0,4.34563075858,1,1,1,0,205.285299463,205.285299463,0,0,0,0,False,0.00722332741108,6.3976753461,-0.107905888371,2025-04-24,2025-04-25,205.285299463,829.110570093,829.110570093,0,4.03882095924,1,1,1,0,205.285299463,205.285299463,0,0,0,0,False,0.00722332741108,5.94598729476,-0.170889429907,0
2025-04-25,2025-04-28,208.896243647,907.785941744,907.785941744,0,4.34563075858,1,1,1,0,208.896243647,208.896243647,0,0,0,0,False,0.0175898819528,15.6918301144,-0.0922140582563,2025-04-25,2025-04-28,208.896243647,843.694527147,843.694527147,0,4.03882095924,1,1,1,0,208.896243647,208.896243647,0,0,0,0,False,0.0175898819528,14.5839570538,-0.156305472853,0
2025-04-28,2025-04-29,207.593124938,902.123068999,902.123068999,0,4.34563075858,1,1,1,0,207.593124938,207.593124938,0,0,0,0,False,-0.00623811460889,-5.66287274494,-0.0978769310012,2025-04-28,2025-04-29,207.593124938,838.431463991,838.431463991,0,4.03882095924,1,1,1,0,207.593124938,207.593124938,0,0,0,0,False,-0.00623811460889,-5.26306315524,-0.161568536009,-1.11022302463e-16
2025-04-29,2025-04-30,208.199924616,904.759996347,904.759996347,0,4.34563075858,1,1,1,0,208.199924616,208.199924616,0,0,0,0,False,0.00292302396272,2.63692734801,-0.0952400036532,2025-04-29,2025-04-30,208.199924616,840.882219252,840.882219252,0,4.03882095924,1,1,1,0,208.199924616,208.199924616,0,0,0,0,False,0.00292302396272,2.45075526034,-0.159117780748,0
2025-04-30,2025-05-01,207.981086552,903.809006922,903.809006922,0,4.34563075858,1,1,1,0,207.981086552,207.981086552,0,0,0,0,False,-0.00105109579213,-0.950989425049,-0.0961909930783,2025-04-30,2025-05-01,207.981086552,839.99837149,839.99837149,0,4.03882095924,1,1,1,0,207.981086552,207.981086552,0,0,0,0,False,-0.00105109579213,-0.883847762334,-0.16000162851,1.11022302463e-16
2025-05-01,2025-05-02,205.006776466,890.883753528,890.883753528,0,4.34563075858,1,1,1,0,205.006776466,205.006776466,0,0,0,0,False,-0.0143008680983,-12.925253394,-0.109116246472,2025-05-01,2025-05-02,205.006776466,827.985665576,827.985665576,0,4.03882095924,1,1,1,0,205.006776466,205.006776466,0,0,0,0,False,-0.0143008680983,-12.0127059134,-0.172014334424,0
2025-05-02,2025-05-05,202.032513959,877.958706894,877.958706894,0,4.34563075858,1,1,1,0,202.032513959,202.032513959,0,0,0,0,False,-0.0145081180145,-12.9250466334,-0.122041293106,2025-05-02,2025-05-05,202.032513959,815.973151826,815.973151826,0,4.03882095924,1,1,1,0,202.032513959,202.032513959,0,0,0,0,False,-0.0145081180145,-12.0125137505,-0.184026848174,-1.11022302463e-16
2025-05-05,2025-05-06,197.168217967,856.82027261,856.82027261,0,4.34563075858,1,1,1,0,197.168217967,197.168217967,0,0,0,0,False,-0.0240767978247,-21.1384342843,-0.14317972739,2025-05-05,2025-05-06,197.168217967,796.327131219,796.327131219,0,4.03882095924,1,1,1,0,197.168217967,197.168217967,0,0,0,0,False,-0.0240767978247,-19.6460206069,-0.203672868781,0
2025-05-06,2025-05-07,198.123156456,860.970082684,860.970082684,0,4.34563075858,1,1,1,0,198.123156456,198.123156456,0,0,0,0,False,0.00484326784309,4.14981007364,-0.139029917316,2025-05-06,2025-05-07,198.123156456,800.183956806,800.183956806,0,4.03882095924,1,1,1,0,198.123156456,198.123156456,0,0,0,0,False,0.00484326784309,3.85682558722,-0.199816043194,0
2025-05-07,2025-05-08,196.680782717,854.702058997,854.702058997,0,4.34563075858,1,1,1,0,196.680782717,196.680782717,0,0,0,0,False,-0.00728018756143,-6.26802368672,-0.145297941003,2025-05-07,2025-05-08,196.680782717,794.358467517,794.358467517,0,4.03882095924,1,1,1,0,196.680782717,196.680782717,0,0,0,0,False,-0.00728018756143,-5.82548928919,-0.205641532483,-1.11022302463e-16
2025-05-08,2025-05-09,197.954042092,860.2351741,860.2351741,0,4.34563075858,1,1,1,0,197.954042092,197.954042092,0,0,0,0,False,0.00647373554877,5.53311510294,-0.1397648259,2025-05-08,2025-05-09,197.954042092,799.500934166,799.500934166,0,4.03882095924,1,1,1,0,197.954042092,197.954042092,0,0,0,0,False,0.00647373554877,5.14246664963,-0.200499065834,0
2025-05-09,2025-05-12,210.136343133,913.174956216,913.174956216,0,4.34563075858,1,1,1,0,210.136343133,210.136343133,0,0,0,0,False,0.0615410572713,52.939782116,-0.086825043784,2025-05-09,2025-05-12,210.136343133,848.703066944,848.703066944,0,4.03882095924,1,1,1,0,210.136343133,210.136343133,0,0,0,0,False,0.0615410572713,49.202132778,-0.151296933056,-2.22044604925e-16
2025-05-12,2025-05-13,209.598471365,910.837564114,910.837564114,0,4.34563075858,1,1,1,0,209.598471365,209.598471365,0,0,0,0,False,-0.00255963228715,-2.33739210175,-0.0891624358858,2025-05-12,2025-05-13,209.598471365,846.530699172,846.530699172,0,4.03882095924,1,1,1,0,209.598471365,209.598471365,0,0,0,0,False,-0.00255963228715,-2.17236777236,-0.153469300828,1.11022302463e-16
2025-05-13,2025-05-14,211.590562522,919.494456719,919.494456719,0,4.34563075858,1,1,1,0,211.590562522,211.590562522,0,0,0,0,False,0.00950432101863,8.65689260517,-0.0805055432806,2025-05-13,2025-05-14,211.590562522,854.576398689,854.576398689,0,4.03882095924,1,1,1,0,211.590562522,211.590562522,0,0,0,0,False,0.00950432101863,8.04569951706,-0.145423601311,0
2025-05-14,2025-05-15,210.116401472,913.08829712,913.08829712,0,4.34563075858,1,1,1,0,210.116401472,210.116401472,0,0,0,0,False,-0.00696704537259,-6.40615959981,-0.0869117028804,2025-05-14,2025-05-15,210.116401472,848.622526145,848.622526145,0,4.03882095924,1,1,1,0,210.116401472,210.116401472,0,0,0,0,False,-0.00696704537259,-5.95387254402,-0.151377473855,0
2025-05-15,2025-05-16,211.520845511,919.191492335,919.191492335,0,4.34563075858,1,1,1,0,211.520845511,211.520845511,0,0,0,0,False,0.00668412379634,6.10319521494,-0.0808085076655,2025-05-15,2025-05-16,211.520845511,854.294824166,854.294824166,0,4.03882095924,1,1,1,0,211.520845511,211.520845511,0,0,0,0,False,0.00668412379634,5.67229802112,-0.145705175834,0
2025-05-16,2025-05-19,207.088459706,899.929980247,899.929980247,0,4.34563075858,1,1,1,0,207.088459706,207.088459706,0,0,0,0,False,-0.0209548415625,-19.2615120874,-0.100070019753,2025-05-16,2025-05-19,207.088459706,836.393211478,836.393211478,0,4.03882095924,1,1,1,0,207.088459706,207.088459706,0,0,0,0,False,-0.0209548415625,-17.901612688,-0.163606788522,0
